ID,con_count,condition_tool,condition_unce,trial_number,trial.started,trial.started_EEG,trial.stopped,trial.stopped_EEG,feedback.end,feedback.end_EEG,data_file_name,name_wins_1,name_lose_1,name_wins_2,name_lose_2,name_wins_3,name_lose_3,name_wins_4,name_lose_4,score_deck1,score_deck2,score_deck3,score_deck4,score_ref1,score_ref2,clicked_image,wins,lose,wins_total,lose_total,points_total_condition,points_total,score,wins_deck1,lose_deck1,wins_deck2,lose_deck2,wins_deck3,lose_deck3,wins_deck4,lose_deck4,counter_deck1,counter_deck2,counter_deck3,counter_deck4,wins_mean_deck1,lose_mean_deck1,total_mean_deck1,wins_mean_deck2,lose_mean_deck2,total_mean_deck2,wins_mean_deck3,lose_mean_deck3,total_mean_deck3,wins_mean_deck4,lose_mean_deck4,total_mean_deck4,counter_AIT,choose_deck1,choose_deck2,choose_deck3,choose_deck4,date,response_time,sex,age
IG02,1.0,NAIT,HIGU,1.0,801.0368701000002,497.1243386,804.4129499000001,500.5004183999999,806.4282321000001,502.5157005999999,deck_data_1.xlsx,deck_B_wins,deck_B_lose,deck_A_wins,deck_A_lose,deck_D_wins,deck_D_lose,deck_C_wins,deck_C_lose,1.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,1.0,1.0,130.0,0.0,130.0,0.0,130.0,280.0,1.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,130.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,B,C,D,2023-11-13_10h44.53.499,3.376079799999843,men ,37
IG02,1.0,NAIT,HIGU,2.0,806.4385281000004,502.5259966000002,807.0631982000004,503.1506667000003,809.0790578000001,505.16652629999993,deck_data_1.xlsx,deck_B_wins,deck_B_lose,deck_A_wins,deck_A_lose,deck_D_wins,deck_D_lose,deck_C_wins,deck_C_lose,1.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,1.0,3.0,69.0,117.0,199.0,117.0,82.0,232.0,0.3333333333333333,130.0,0.0,0.0,0.0,69.0,117.0,0.0,0.0,1.0,0.0,1.0,0.0,130.0,0.0,130.0,0.0,0.0,0.0,69.0,117.0,-48.0,0.0,0.0,0.0,0.0,A,B,C,D,2023-11-13_10h44.53.499,0.624670100000003,men ,37
IG02,1.0,NAIT,HIGU,3.0,809.0877065000004,505.17517500000025,809.9132211000001,506.00068959999993,811.9283688,508.0158372999999,deck_data_1.xlsx,deck_B_wins,deck_B_lose,deck_A_wins,deck_A_lose,deck_D_wins,deck_D_lose,deck_C_wins,deck_C_lose,1.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,1.0,4.0,51.0,62.0,250.0,179.0,71.0,221.0,0.0,130.0,0.0,0.0,0.0,69.0,117.0,51.0,62.0,1.0,0.0,1.0,1.0,130.0,0.0,130.0,0.0,0.0,0.0,69.0,117.0,-48.0,51.0,62.0,-11.0,0.0,A,B,C,D,2023-11-13_10h44.53.499,0.8255145999996785,men ,37
IG02,1.0,NAIT,HIGU,4.0,811.9371834000003,508.02465190000015,812.2824801000002,508.3699486,814.2957363,510.3832047999999,deck_data_1.xlsx,deck_B_wins,deck_B_lose,deck_A_wins,deck_A_lose,deck_D_wins,deck_D_lose,deck_C_wins,deck_C_lose,1.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,1.0,2.0,94.0,0.0,344.0,179.0,165.0,315.0,0.6666666666666666,130.0,0.0,94.0,0.0,69.0,117.0,51.0,62.0,1.0,1.0,1.0,1.0,130.0,0.0,130.0,94.0,0.0,94.0,69.0,117.0,-48.0,51.0,62.0,-11.0,0.0,A,B,C,D,2023-11-13_10h44.53.499,0.3452966999998352,men ,37
IG02,1.0,NAIT,HIGU,5.0,814.3045213,510.3919897999999,814.9132192000002,511.0006877,816.9282901000001,513.0157586,deck_data_1.xlsx,deck_B_wins,deck_B_lose,deck_A_wins,deck_A_lose,deck_D_wins,deck_D_lose,deck_C_wins,deck_C_lose,1.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,1.0,1.0,105.0,0.0,449.0,179.0,270.0,420.0,1.0,235.0,0.0,94.0,0.0,69.0,117.0,51.0,62.0,2.0,1.0,1.0,1.0,117.5,0.0,117.5,94.0,0.0,94.0,69.0,117.0,-48.0,51.0,62.0,-11.0,0.0,A,B,C,D,2023-11-13_10h44.53.499,0.608697900000152,men ,37
IG02,1.0,NAIT,HIGU,6.0,816.9370293000002,513.0244978000001,817.2632113000004,513.3506798000003,819.2797052000001,515.3671737,deck_data_1.xlsx,deck_B_wins,deck_B_lose,deck_A_wins,deck_A_lose,deck_D_wins,deck_D_lose,deck_C_wins,deck_C_lose,1.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,1.0,2.0,87.0,129.0,536.0,308.0,228.0,378.0,0.6666666666666666,235.0,0.0,181.0,129.0,69.0,117.0,51.0,62.0,2.0,2.0,1.0,1.0,117.5,0.0,117.5,90.5,64.5,26.0,69.0,117.0,-48.0,51.0,62.0,-11.0,0.0,A,B,C,D,2023-11-13_10h44.53.499,0.3261820000002444,men ,37
IG02,1.0,NAIT,HIGU,7.0,819.2921882,515.3796566999999,819.6131873000004,515.7006558000003,821.6282073000002,517.7156758000001,deck_data_1.xlsx,deck_B_wins,deck_B_lose,deck_A_wins,deck_A_lose,deck_D_wins,deck_D_lose,deck_C_wins,deck_C_lose,1.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,1.0,1.0,125.0,0.0,661.0,308.0,353.0,503.0,1.0,360.0,0.0,181.0,129.0,69.0,117.0,51.0,62.0,3.0,2.0,1.0,1.0,120.0,0.0,120.0,90.5,64.5,26.0,69.0,117.0,-48.0,51.0,62.0,-11.0,1.0,A,B,C,D,2023-11-13_10h44.53.499,0.3209991000003356,men ,37
IG02,1.0,NAIT,HIGU,8.0,821.6369117000004,517.7243802000003,821.9966518000001,518.0841203,824.0123757000001,520.0998442,deck_data_1.xlsx,deck_B_wins,deck_B_lose,deck_A_wins,deck_A_lose,deck_D_wins,deck_D_lose,deck_C_wins,deck_C_lose,1.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,1.0,1.0,107.0,143.0,768.0,451.0,317.0,467.0,1.0,467.0,143.0,181.0,129.0,69.0,117.0,51.0,62.0,4.0,2.0,1.0,1.0,116.75,35.75,81.0,90.5,64.5,26.0,69.0,117.0,-48.0,51.0,62.0,-11.0,1.0,,B,C,D,2023-11-13_10h44.53.499,0.3597400999997262,men ,37
IG02,1.0,NAIT,HIGU,9.0,824.0211089000004,520.1085774000003,824.4132261000004,520.5006946000003,826.4283032000003,522.5157717000002,deck_data_1.xlsx,deck_B_wins,deck_B_lose,deck_A_wins,deck_A_lose,deck_D_wins,deck_D_lose,deck_C_wins,deck_C_lose,1.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,1.0,3.0,50.0,51.0,818.0,502.0,316.0,466.0,0.3333333333333333,467.0,143.0,181.0,129.0,119.0,168.0,51.0,62.0,4.0,2.0,2.0,1.0,116.75,35.75,81.0,90.5,64.5,26.0,59.5,84.0,-24.5,51.0,62.0,-11.0,1.0,,B,C,D,2023-11-13_10h44.53.499,0.3921172000000297,men ,37
IG02,1.0,NAIT,HIGU,10.0,826.4370466,522.5245150999999,826.7998289000002,522.8872974000001,828.8145817000004,524.9020502000003,deck_data_1.xlsx,deck_B_wins,deck_B_lose,deck_A_wins,deck_A_lose,deck_D_wins,deck_D_lose,deck_C_wins,deck_C_lose,1.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,1.0,4.0,35.0,0.0,853.0,502.0,351.0,501.0,0.0,467.0,143.0,181.0,129.0,119.0,168.0,86.0,62.0,4.0,2.0,2.0,2.0,116.75,35.75,81.0,90.5,64.5,26.0,59.5,84.0,-24.5,43.0,31.0,12.0,1.0,,B,C,D,2023-11-13_10h44.53.499,0.3627823000001626,men ,37
