ID,con_count,condition_tool,condition_unce,trial_number,trial.started,trial.started_EEG,trial.stopped,trial.stopped_EEG,feedback.end,feedback.end_EEG,data_file_name,name_wins_1,name_lose_1,name_wins_2,name_lose_2,name_wins_3,name_lose_3,name_wins_4,name_lose_4,score_deck1,score_deck2,score_deck3,score_deck4,score_ref1,score_ref2,clicked_image,wins,lose,wins_total,lose_total,points_total_condition,points_total,score,wins_deck1,lose_deck1,wins_deck2,lose_deck2,wins_deck3,lose_deck3,wins_deck4,lose_deck4,counter_deck1,counter_deck2,counter_deck3,counter_deck4,wins_mean_deck1,lose_mean_deck1,total_mean_deck1,wins_mean_deck2,lose_mean_deck2,total_mean_deck2,wins_mean_deck3,lose_mean_deck3,total_mean_deck3,wins_mean_deck4,lose_mean_deck4,total_mean_deck4,counter_AIT,choose_deck1,choose_deck2,choose_deck3,choose_deck4,date,response_time,sex,age
IG27,1.0,NAIT,LOWU,1.0,678.2561532000036,655.5775747000041,682.7801395999995,660.1015611,684.7923228,662.1137443000005,deck_data_3.xlsx,deck_B_wins,deck_B_lose,deck_D_wins,deck_D_lose,deck_A_wins,deck_A_lose,deck_C_wins,deck_C_lose,1.0,0.1538461538461538,0.6923076923076923,0.0,0.6923076923076923,1.0,1.0,116.0,0.0,116.0,0.0,116.0,596.0,1.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,116.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,B,C,D,2023-12-07_18h09.37.191,4.52398639999592,women,34
IG27,1.0,NAIT,LOWU,2.0,684.8030383000005,662.124459800001,686.0292487999977,663.3506702999982,688.0424131000036,665.3638346000041,deck_data_3.xlsx,deck_B_wins,deck_B_lose,deck_D_wins,deck_D_lose,deck_A_wins,deck_A_lose,deck_C_wins,deck_C_lose,1.0,0.1538461538461538,0.6923076923076923,0.0,0.6923076923076923,1.0,2.0,64.0,111.0,180.0,0.0,180.0,660.0,0.1538461538461538,116.0,0.0,64.0,111.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,116.0,0.0,116.0,64.0,111.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,B,C,D,2023-12-07_18h09.37.191,1.2262104999972507,women,34
IG27,1.0,NAIT,LOWU,3.0,688.0515337999968,665.3729552999973,688.7599177000011,666.0813392000016,690.7750876999999,668.0965092000004,deck_data_3.xlsx,deck_B_wins,deck_B_lose,deck_D_wins,deck_D_lose,deck_A_wins,deck_A_lose,deck_C_wins,deck_C_lose,1.0,0.1538461538461538,0.6923076923076923,0.0,0.6923076923076923,1.0,3.0,94.0,147.0,274.0,0.0,274.0,754.0,0.6923076923076923,116.0,0.0,64.0,111.0,94.0,147.0,0.0,0.0,1.0,1.0,1.0,0.0,116.0,0.0,116.0,64.0,111.0,64.0,94.0,147.0,94.0,0.0,0.0,0.0,0.0,A,B,C,D,2023-12-07_18h09.37.191,0.7083839000042644,women,34
IG27,1.0,NAIT,LOWU,4.0,690.7848866999993,668.1063081999998,691.4767157000024,668.7981372000029,693.4915936000034,670.8130151000039,deck_data_3.xlsx,deck_B_wins,deck_B_lose,deck_D_wins,deck_D_lose,deck_A_wins,deck_A_lose,deck_C_wins,deck_C_lose,1.0,0.1538461538461538,0.6923076923076923,0.0,0.6923076923076923,1.0,4.0,42.0,0.0,316.0,0.0,316.0,796.0,0.0,116.0,0.0,64.0,111.0,94.0,147.0,42.0,0.0,1.0,1.0,1.0,1.0,116.0,0.0,116.0,64.0,111.0,64.0,94.0,147.0,94.0,42.0,0.0,42.0,0.0,A,B,C,D,2023-12-07_18h09.37.191,0.6918290000030538,women,34
IG27,1.0,NAIT,LOWU,5.0,693.5014964000002,670.8229179000007,696.3427382000009,673.6641597000014,698.3591337999969,675.6805552999974,deck_data_3.xlsx,deck_B_wins,deck_B_lose,deck_D_wins,deck_D_lose,deck_A_wins,deck_A_lose,deck_C_wins,deck_C_lose,1.0,0.1538461538461538,0.6923076923076923,0.0,0.6923076923076923,1.0,1.0,126.0,0.0,442.0,0.0,442.0,922.0,1.0,242.0,0.0,64.0,111.0,94.0,147.0,42.0,0.0,2.0,1.0,1.0,1.0,121.0,0.0,121.0,64.0,111.0,64.0,94.0,147.0,94.0,42.0,0.0,42.0,0.0,A,B,C,D,2023-12-07_18h09.37.191,2.8412418000007165,women,34
IG27,1.0,NAIT,LOWU,6.0,698.3758863999974,675.6973078999979,698.8432794000037,676.1647009000042,700.8582193999973,678.1796408999978,deck_data_3.xlsx,deck_B_wins,deck_B_lose,deck_D_wins,deck_D_lose,deck_A_wins,deck_A_lose,deck_C_wins,deck_C_lose,1.0,0.1538461538461538,0.6923076923076923,0.0,0.6923076923076923,1.0,2.0,58.0,50.0,500.0,0.0,500.0,980.0,0.1538461538461538,242.0,0.0,122.0,161.0,94.0,147.0,42.0,0.0,2.0,2.0,1.0,1.0,121.0,0.0,121.0,61.0,80.5,61.0,94.0,147.0,94.0,42.0,0.0,42.0,0.0,A,B,C,D,2023-12-07_18h09.37.191,0.4673930000062682,women,34
IG27,1.0,NAIT,LOWU,7.0,700.8685209999967,678.1899424999972,701.2435257999969,678.5649472999974,703.2590033000015,680.580424800002,deck_data_3.xlsx,deck_B_wins,deck_B_lose,deck_D_wins,deck_D_lose,deck_A_wins,deck_A_lose,deck_C_wins,deck_C_lose,1.0,0.1538461538461538,0.6923076923076923,0.0,0.6923076923076923,1.0,3.0,90.0,217.0,590.0,0.0,590.0,1070.0,0.6923076923076923,242.0,0.0,122.0,161.0,184.0,364.0,42.0,0.0,2.0,2.0,2.0,1.0,121.0,0.0,121.0,61.0,80.5,61.0,92.0,182.0,92.0,42.0,0.0,42.0,0.0,A,B,C,D,2023-12-07_18h09.37.191,0.3750048000001698,women,34
IG27,1.0,NAIT,LOWU,8.0,703.2680907999966,680.5895122999971,703.6930878999992,681.0145093999997,705.7082088000025,683.029630300003,deck_data_3.xlsx,deck_B_wins,deck_B_lose,deck_D_wins,deck_D_lose,deck_A_wins,deck_A_lose,deck_C_wins,deck_C_lose,1.0,0.1538461538461538,0.6923076923076923,0.0,0.6923076923076923,1.0,4.0,38.0,33.0,628.0,0.0,628.0,1108.0,0.0,242.0,0.0,122.0,161.0,184.0,364.0,80.0,33.0,2.0,2.0,2.0,2.0,121.0,0.0,121.0,61.0,80.5,61.0,92.0,182.0,92.0,40.0,16.5,40.0,0.0,A,B,C,D,2023-12-07_18h09.37.191,0.4249971000026562,women,34
IG27,1.0,NAIT,LOWU,9.0,705.7184732000023,683.0398947000028,707.3431352999978,684.6645567999983,709.358239000001,686.6796605000015,deck_data_3.xlsx,deck_B_wins,deck_B_lose,deck_D_wins,deck_D_lose,deck_A_wins,deck_A_lose,deck_C_wins,deck_C_lose,1.0,0.1538461538461538,0.6923076923076923,0.0,0.6923076923076923,1.0,1.0,120.0,143.0,748.0,0.0,748.0,1228.0,1.0,362.0,143.0,122.0,161.0,184.0,364.0,80.0,33.0,3.0,2.0,2.0,2.0,120.66666666666669,47.66666666666666,120.66666666666669,61.0,80.5,61.0,92.0,182.0,92.0,40.0,16.5,40.0,1.0,A,B,C,D,2023-12-07_18h09.37.191,1.6246620999954755,women,34
IG27,1.0,NAIT,LOWU,10.0,709.3684635000027,686.6898850000032,709.8095184999984,687.1309399999989,711.824953299998,689.1463747999985,deck_data_3.xlsx,deck_B_wins,deck_B_lose,deck_D_wins,deck_D_lose,deck_A_wins,deck_A_lose,deck_C_wins,deck_C_lose,1.0,0.1538461538461538,0.6923076923076923,0.0,0.6923076923076923,1.0,2.0,53.0,0.0,801.0,0.0,801.0,1281.0,0.1538461538461538,362.0,143.0,175.0,161.0,184.0,364.0,80.0,33.0,3.0,3.0,2.0,2.0,120.66666666666669,47.66666666666666,120.66666666666669,58.333333333333336,53.66666666666666,58.333333333333336,92.0,182.0,92.0,40.0,16.5,40.0,2.0,,B,C,D,2023-12-07_18h09.37.191,0.4410549999956856,women,34
IG27,1.0,NAIT,LOWU,11.0,711.8351159000013,689.1565374000018,712.2261225999973,689.5475440999978,714.241489699998,691.5629111999986,deck_data_3.xlsx,deck_B_wins,deck_B_lose,deck_D_wins,deck_D_lose,deck_A_wins,deck_A_lose,deck_C_wins,deck_C_lose,1.0,0.1538461538461538,0.6923076923076923,0.0,0.6923076923076923,1.0,3.0,78.0,0.0,879.0,0.0,879.0,1359.0,0.6923076923076923,362.0,143.0,175.0,161.0,262.0,364.0,80.0,33.0,3.0,3.0,3.0,2.0,120.66666666666669,47.66666666666666,120.66666666666669,58.333333333333336,53.66666666666666,58.333333333333336,87.33333333333333,121.33333333333331,87.33333333333333,40.0,16.5,40.0,3.0,,,C,D,2023-12-07_18h09.37.191,0.3910066999960691,women,34
IG27,1.0,NAIT,LOWU,12.0,714.2519834999985,691.573404999999,714.6598000000013,691.9812215000018,716.6666325999977,693.9880540999982,deck_data_3.xlsx,deck_B_wins,deck_B_lose,deck_D_wins,deck_D_lose,deck_A_wins,deck_A_lose,deck_C_wins,deck_C_lose,1.0,0.1538461538461538,0.6923076923076923,0.0,0.6923076923076923,1.0,4.0,35.0,0.0,914.0,0.0,914.0,1394.0,0.0,362.0,143.0,175.0,161.0,262.0,364.0,115.0,33.0,3.0,3.0,3.0,3.0,120.66666666666669,47.66666666666666,120.66666666666669,58.333333333333336,53.66666666666666,58.333333333333336,87.33333333333333,121.33333333333331,87.33333333333333,38.333333333333336,11.0,38.333333333333336,4.0,,,,D,2023-12-07_18h09.37.191,0.4078165000028093,women,34
IG27,1.0,NAIT,LOWU,13.0,716.6883180000004,694.0097395000009,717.6928894000011,695.0143109000016,719.7082519999967,697.0296734999972,deck_data_3.xlsx,deck_B_wins,deck_B_lose,deck_D_wins,deck_D_lose,deck_A_wins,deck_A_lose,deck_C_wins,deck_C_lose,1.0,0.1538461538461538,0.6923076923076923,0.0,0.6923076923076923,1.0,1.0,87.0,156.0,1001.0,0.0,1001.0,1481.0,1.0,449.0,299.0,175.0,161.0,262.0,364.0,115.0,33.0,4.0,3.0,3.0,3.0,112.25,74.75,112.25,58.333333333333336,53.66666666666666,58.333333333333336,87.33333333333333,121.33333333333331,87.33333333333333,38.333333333333336,11.0,38.333333333333336,4.0,A,,C,,2023-12-07_18h09.37.191,1.0045714000007138,women,34
IG27,1.0,NAIT,LOWU,14.0,719.7208638000011,697.0422853000016,720.3429483,697.6643698000005,722.3582453999989,699.6796668999993,deck_data_3.xlsx,deck_B_wins,deck_B_lose,deck_D_wins,deck_D_lose,deck_A_wins,deck_A_lose,deck_C_wins,deck_C_lose,1.0,0.1538461538461538,0.6923076923076923,0.0,0.6923076923076923,1.0,3.0,85.0,0.0,1086.0,0.0,1086.0,1566.0,0.6923076923076923,449.0,299.0,175.0,161.0,347.0,364.0,115.0,33.0,4.0,3.0,4.0,3.0,112.25,74.75,112.25,58.333333333333336,53.66666666666666,58.333333333333336,86.75,91.0,86.75,38.333333333333336,11.0,38.333333333333336,4.0,A,,C,,2023-12-07_18h09.37.191,0.6220844999988913,women,34
IG27,1.0,NAIT,LOWU,15.0,722.3684279000008,699.6898494000013,723.5433234000011,700.8647449000016,725.5582443000021,702.8796658000026,deck_data_3.xlsx,deck_B_wins,deck_B_lose,deck_D_wins,deck_D_lose,deck_A_wins,deck_A_lose,deck_C_wins,deck_C_lose,1.0,0.1538461538461538,0.6923076923076923,0.0,0.6923076923076923,1.0,4.0,60.0,0.0,1146.0,0.0,1146.0,1626.0,0.0,449.0,299.0,175.0,161.0,347.0,364.0,175.0,33.0,4.0,3.0,4.0,4.0,112.25,74.75,112.25,58.333333333333336,53.66666666666666,58.333333333333336,86.75,91.0,86.75,43.75,8.25,43.75,4.0,A,,C,,2023-12-07_18h09.37.191,1.1748955000002752,women,34
IG27,1.0,NAIT,LOWU,16.0,725.5684009000033,702.8898224000038,726.1763814000005,703.497802900001,728.1914655,705.5128870000005,deck_data_3.xlsx,deck_B_wins,deck_B_lose,deck_D_wins,deck_D_lose,deck_A_wins,deck_A_lose,deck_C_wins,deck_C_lose,1.0,0.1538461538461538,0.6923076923076923,0.0,0.6923076923076923,1.0,2.0,62.0,0.0,1208.0,0.0,1208.0,1688.0,0.1538461538461538,449.0,299.0,237.0,161.0,347.0,364.0,175.0,33.0,4.0,4.0,4.0,4.0,112.25,74.75,112.25,59.25,40.25,59.25,86.75,91.0,86.75,43.75,8.25,43.75,4.0,A,,C,,2023-12-07_18h09.37.191,0.6079804999972112,women,34
IG27,1.0,NAIT,LOWU,17.0,728.2005693000028,705.5219908000033,729.0766810999994,706.3981025999999,731.0915383000029,708.4129598000034,deck_data_3.xlsx,deck_B_wins,deck_B_lose,deck_D_wins,deck_D_lose,deck_A_wins,deck_A_lose,deck_C_wins,deck_C_lose,1.0,0.1538461538461538,0.6923076923076923,0.0,0.6923076923076923,1.0,1.0,117.0,0.0,1325.0,0.0,1325.0,1805.0,1.0,566.0,299.0,237.0,161.0,347.0,364.0,175.0,33.0,5.0,4.0,4.0,4.0,113.2,59.8,113.2,59.25,40.25,59.25,86.75,91.0,86.75,43.75,8.25,43.75,4.0,A,,C,,2023-12-07_18h09.37.191,0.8761117999965791,women,34
IG27,1.0,NAIT,LOWU,18.0,731.101676899998,708.4230983999985,732.8765841999993,710.1980056999998,734.8913031999982,712.2127246999987,deck_data_3.xlsx,deck_B_wins,deck_B_lose,deck_D_wins,deck_D_lose,deck_A_wins,deck_A_lose,deck_C_wins,deck_C_lose,1.0,0.1538461538461538,0.6923076923076923,0.0,0.6923076923076923,1.0,1.0,109.0,0.0,1434.0,0.0,1434.0,1914.0,1.0,675.0,299.0,237.0,161.0,347.0,364.0,175.0,33.0,6.0,4.0,4.0,4.0,112.5,49.833333333333336,112.5,59.25,40.25,59.25,86.75,91.0,86.75,43.75,8.25,43.75,4.0,A,,C,,2023-12-07_18h09.37.191,1.7749073000013595,women,34
IG27,1.0,NAIT,LOWU,19.0,734.9003018000003,712.2217233000008,736.0932000999965,713.414621599997,738.1081554999982,715.4295769999987,deck_data_3.xlsx,deck_B_wins,deck_B_lose,deck_D_wins,deck_D_lose,deck_A_wins,deck_A_lose,deck_C_wins,deck_C_lose,1.0,0.1538461538461538,0.6923076923076923,0.0,0.6923076923076923,1.0,1.0,81.0,106.0,1515.0,0.0,1515.0,1995.0,1.0,756.0,405.0,237.0,161.0,347.0,364.0,175.0,33.0,7.0,4.0,4.0,4.0,108.0,57.85714285714285,108.0,59.25,40.25,59.25,86.75,91.0,86.75,43.75,8.25,43.75,4.0,A,,C,,2023-12-07_18h09.37.191,1.192898299996159,women,34
IG27,1.0,NAIT,LOWU,20.0,738.1172144000011,715.4386359000016,738.9098328999971,716.2312543999976,740.9248115000009,718.2462330000014,deck_data_3.xlsx,deck_B_wins,deck_B_lose,deck_D_wins,deck_D_lose,deck_A_wins,deck_A_lose,deck_C_wins,deck_C_lose,1.0,0.1538461538461538,0.6923076923076923,0.0,0.6923076923076923,1.0,2.0,53.0,0.0,1568.0,0.0,1568.0,2048.0,0.1538461538461538,756.0,405.0,290.0,161.0,347.0,364.0,175.0,33.0,7.0,5.0,4.0,4.0,108.0,57.85714285714285,108.0,58.0,32.2,58.0,86.75,91.0,86.75,43.75,8.25,43.75,4.0,A,,C,,2023-12-07_18h09.37.191,0.7926184999960242,women,34
IG27,1.0,NAIT,LOWU,21.0,740.9350085999977,718.2564300999982,741.5097965000023,718.8312180000028,743.5248614000011,720.8462829000016,deck_data_3.xlsx,deck_B_wins,deck_B_lose,deck_D_wins,deck_D_lose,deck_A_wins,deck_A_lose,deck_C_wins,deck_C_lose,1.0,0.1538461538461538,0.6923076923076923,0.0,0.6923076923076923,1.0,1.0,127.0,179.0,1695.0,0.0,1695.0,2175.0,1.0,883.0,584.0,290.0,161.0,347.0,364.0,175.0,33.0,8.0,5.0,4.0,4.0,110.375,73.0,110.375,58.0,32.2,58.0,86.75,91.0,86.75,43.75,8.25,43.75,4.0,A,,C,,2023-12-07_18h09.37.191,0.5747879000045941,women,34
IG27,1.0,NAIT,LOWU,22.0,743.5343026999981,720.8557241999986,744.3264678999985,721.647889399999,746.3411771000028,723.6625986000033,deck_data_3.xlsx,deck_B_wins,deck_B_lose,deck_D_wins,deck_D_lose,deck_A_wins,deck_A_lose,deck_C_wins,deck_C_lose,1.0,0.1538461538461538,0.6923076923076923,0.0,0.6923076923076923,1.0,1.0,107.0,0.0,1802.0,0.0,1802.0,2282.0,1.0,990.0,584.0,290.0,161.0,347.0,364.0,175.0,33.0,9.0,5.0,4.0,4.0,110.0,64.88888888888889,110.0,58.0,32.2,58.0,86.75,91.0,86.75,43.75,8.25,43.75,4.0,A,,C,,2023-12-07_18h09.37.191,0.7921652000004542,women,34
