ID,con_count,condition_tool,condition_unce,trial_number,trial.started,trial.started_EEG,trial.stopped,trial.stopped_EEG,feedback.end,feedback.end_EEG,data_file_name,name_wins_1,name_lose_1,name_wins_2,name_lose_2,name_wins_3,name_lose_3,name_wins_4,name_lose_4,score_deck1,score_deck2,score_deck3,score_deck4,score_ref1,score_ref2,clicked_image,wins,lose,wins_total,lose_total,points_total_condition,points_total,score,wins_deck1,lose_deck1,wins_deck2,lose_deck2,wins_deck3,lose_deck3,wins_deck4,lose_deck4,counter_deck1,counter_deck2,counter_deck3,counter_deck4,wins_mean_deck1,lose_mean_deck1,total_mean_deck1,wins_mean_deck2,lose_mean_deck2,total_mean_deck2,wins_mean_deck3,lose_mean_deck3,total_mean_deck3,wins_mean_deck4,lose_mean_deck4,total_mean_deck4,counter_AIT,choose_deck1,choose_deck2,choose_deck3,choose_deck4,date,response_time,sex,age
IG05,1.0,WAIT,HIGU,1.0,1217.9294592000006,313.2991525000017,1222.5999135000002,317.9696068000013,1224.6154673,319.9851606000012,deck_data_2.xlsx,deck_A_wins,deck_A_lose,deck_B_wins,deck_B_lose,deck_C_wins,deck_C_lose,deck_D_wins,deck_D_lose,0.0,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,83.0,0.0,83.0,0.0,83.0,903.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,83.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,B,C,D,2023-11-16_16h48.58.059,4.670454299999619,men ,24
IG05,1.0,WAIT,HIGU,2.0,1224.6259104,319.9956037000012,1226.0834761999995,321.4531695000006,1228.0984546,323.4681479000011,deck_data_2.xlsx,deck_A_wins,deck_A_lose,deck_B_wins,deck_B_lose,deck_C_wins,deck_C_lose,deck_D_wins,deck_D_lose,0.0,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,1.0,3.0,50.0,0.0,133.0,0.0,133.0,953.0,0.6666666666666666,83.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,83.0,0.0,83.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,A,B,C,D,2023-11-16_16h48.58.059,1.4575657999994291,men ,24
IG05,1.0,WAIT,HIGU,3.0,1228.1081699999995,323.47786330000065,1229.9666689999997,325.3363623000008,1231.9826419,327.3523352000012,deck_data_2.xlsx,deck_A_wins,deck_A_lose,deck_B_wins,deck_B_lose,deck_C_wins,deck_C_lose,deck_D_wins,deck_D_lose,0.0,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,1.0,3.0,50.0,0.0,183.0,0.0,183.0,1003.0,0.6666666666666666,83.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,83.0,0.0,83.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,A,B,C,D,2023-11-16_16h48.58.059,1.858499000000165,men ,24
IG05,1.0,WAIT,HIGU,4.0,1232.0004202,327.37011350000114,1232.6500925,328.0197858000012,1234.6658637,330.0355570000012,deck_data_2.xlsx,deck_A_wins,deck_A_lose,deck_B_wins,deck_B_lose,deck_C_wins,deck_C_lose,deck_D_wins,deck_D_lose,0.0,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,1.0,4.0,59.0,30.0,242.0,30.0,212.0,1032.0,1.0,83.0,0.0,0.0,0.0,100.0,0.0,59.0,30.0,1.0,0.0,2.0,1.0,83.0,0.0,83.0,0.0,0.0,0.0,50.0,0.0,50.0,59.0,30.0,29.0,0.0,A,B,C,D,2023-11-16_16h48.58.059,0.6496723000000202,men ,24
IG05,1.0,WAIT,HIGU,5.0,1234.674338499999,330.0440318000002,1235.9664465000003,331.33613980000143,1237.9813333000002,333.3510266000013,deck_data_2.xlsx,deck_A_wins,deck_A_lose,deck_B_wins,deck_B_lose,deck_C_wins,deck_C_lose,deck_D_wins,deck_D_lose,0.0,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,90.0,142.0,332.0,172.0,160.0,980.0,0.0,173.0,142.0,0.0,0.0,100.0,0.0,59.0,30.0,2.0,0.0,2.0,1.0,86.5,71.0,15.5,0.0,0.0,0.0,50.0,0.0,50.0,59.0,30.0,29.0,0.0,A,B,C,D,2023-11-16_16h48.58.059,1.2921080000012353,men ,24
IG05,1.0,WAIT,HIGU,6.0,1237.9898307000003,333.35952400000144,1238.3332838000006,333.7029771000017,1240.3490409000003,335.71873420000145,deck_data_2.xlsx,deck_A_wins,deck_A_lose,deck_B_wins,deck_B_lose,deck_C_wins,deck_C_lose,deck_D_wins,deck_D_lose,0.0,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,1.0,2.0,90.0,171.0,422.0,343.0,79.0,899.0,0.3333333333333333,173.0,142.0,90.0,171.0,100.0,0.0,59.0,30.0,2.0,1.0,2.0,1.0,86.5,71.0,15.5,90.0,171.0,-81.0,50.0,0.0,50.0,59.0,30.0,29.0,0.0,A,B,C,D,2023-11-16_16h48.58.059,0.3434531000002607,men ,24
IG05,1.0,WAIT,HIGU,7.0,1240.357932999999,335.7276263000002,1241.3034802000002,336.6731735000013,1243.3154433,338.6851366000011,deck_data_2.xlsx,deck_A_wins,deck_A_lose,deck_B_wins,deck_B_lose,deck_C_wins,deck_C_lose,deck_D_wins,deck_D_lose,0.0,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,1.0,3.0,59.0,0.0,481.0,343.0,138.0,958.0,0.6666666666666666,173.0,142.0,90.0,171.0,159.0,0.0,59.0,30.0,2.0,1.0,3.0,1.0,86.5,71.0,15.5,90.0,171.0,-81.0,53.0,0.0,53.0,59.0,30.0,29.0,1.0,A,B,C,D,2023-11-16_16h48.58.059,0.9455472000011014,men ,24
IG05,1.0,WAIT,HIGU,8.0,1243.324349999999,338.6940433000001,1243.6999022,339.0695955000011,1245.714914,341.08460730000104,deck_data_2.xlsx,deck_A_wins,deck_A_lose,deck_B_wins,deck_B_lose,deck_C_wins,deck_C_lose,deck_D_wins,deck_D_lose,0.0,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,1.0,3.0,48.0,0.0,529.0,343.0,186.0,1006.0,0.6666666666666666,173.0,142.0,90.0,171.0,207.0,0.0,59.0,30.0,2.0,1.0,4.0,1.0,86.5,71.0,15.5,90.0,171.0,-81.0,51.75,0.0,51.75,59.0,30.0,29.0,1.0,A,B,,D,2023-11-16_16h48.58.059,0.3755522000010387,men ,24
IG05,1.0,WAIT,HIGU,9.0,1245.7237994999996,341.0934928000007,1246.516408399999,341.88610170000004,1248.5316058999997,343.90129920000084,deck_data_2.xlsx,deck_A_wins,deck_A_lose,deck_B_wins,deck_B_lose,deck_C_wins,deck_C_lose,deck_D_wins,deck_D_lose,0.0,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,1.0,3.0,33.0,0.0,562.0,343.0,219.0,1039.0,0.6666666666666666,173.0,142.0,90.0,171.0,240.0,0.0,59.0,30.0,2.0,1.0,5.0,1.0,86.5,71.0,15.5,90.0,171.0,-81.0,48.0,0.0,48.0,59.0,30.0,29.0,1.0,A,B,,D,2023-11-16_16h48.58.059,0.7926088999993226,men ,24
IG05,1.0,WAIT,HIGU,10.0,1248.5404581000005,343.9101514000016,1248.9999903000007,344.36968360000185,1251.0155945999995,346.38528790000066,deck_data_2.xlsx,deck_A_wins,deck_A_lose,deck_B_wins,deck_B_lose,deck_C_wins,deck_C_lose,deck_D_wins,deck_D_lose,0.0,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,1.0,2.0,120.0,104.0,682.0,447.0,235.0,1055.0,0.3333333333333333,173.0,142.0,210.0,275.0,240.0,0.0,59.0,30.0,2.0,2.0,5.0,1.0,86.5,71.0,15.5,105.0,137.5,-32.5,48.0,0.0,48.0,59.0,30.0,29.0,1.0,A,B,,D,2023-11-16_16h48.58.059,0.4595322000002397,men ,24
