ID,con_count,condition_tool,condition_unce,trial_number,trial.started,trial.started_EEG,trial.stopped,trial.stopped_EEG,feedback.end,feedback.end_EEG,data_file_name,name_wins_1,name_lose_1,name_wins_2,name_lose_2,name_wins_3,name_lose_3,name_wins_4,name_lose_4,score_deck1,score_deck2,score_deck3,score_deck4,score_ref1,score_ref2,clicked_image,wins,lose,wins_total,lose_total,points_total_condition,points_total,score,wins_deck1,lose_deck1,wins_deck2,lose_deck2,wins_deck3,lose_deck3,wins_deck4,lose_deck4,counter_deck1,counter_deck2,counter_deck3,counter_deck4,wins_mean_deck1,lose_mean_deck1,total_mean_deck1,wins_mean_deck2,lose_mean_deck2,total_mean_deck2,wins_mean_deck3,lose_mean_deck3,total_mean_deck3,wins_mean_deck4,lose_mean_deck4,total_mean_deck4,counter_AIT,choose_deck1,choose_deck2,choose_deck3,choose_deck4,date,response_time,sex,age
IG47,1.0,NAIT,LOWU,1.0,484.0682598995045,377.87961629920005,487.7468870002776,381.5582433999732,489.7606827998534,383.57203919954895,deck_data_1.xlsx,deck_D_wins,deck_D_lose,deck_B_wins,deck_B_lose,deck_A_wins,deck_A_lose,deck_C_wins,deck_C_lose,0.1538461538461538,1.0,0.6923076923076923,0.0,0.6923076923076923,1.0,1.0,46.0,51.0,46.0,0.0,46.0,681.0,0.1538461538461538,46.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,46.0,51.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,B,C,D,2024-05-14_18h37.23.102,3.678627100773099,women,23
IG47,1.0,NAIT,LOWU,2.0,489.7926452001557,383.6040015998512,491.74545670021325,385.5568130999088,493.76015909947455,387.5715154991701,deck_data_1.xlsx,deck_D_wins,deck_D_lose,deck_B_wins,deck_B_lose,deck_A_wins,deck_A_lose,deck_C_wins,deck_C_lose,0.1538461538461538,1.0,0.6923076923076923,0.0,0.6923076923076923,1.0,3.0,93.0,100.0,139.0,0.0,139.0,774.0,0.6923076923076923,46.0,51.0,0.0,0.0,93.0,100.0,0.0,0.0,1.0,0.0,1.0,0.0,46.0,51.0,46.0,0.0,0.0,0.0,93.0,100.0,93.0,0.0,0.0,0.0,0.0,A,B,C,D,2024-05-14_18h37.23.102,1.952811500057578,women,23
IG47,1.0,NAIT,LOWU,3.0,493.79115829989314,387.6025146995887,495.2152797002345,389.0266360999301,497.22625350020826,391.0376098999038,deck_data_1.xlsx,deck_D_wins,deck_D_lose,deck_B_wins,deck_B_lose,deck_A_wins,deck_A_lose,deck_C_wins,deck_C_lose,0.1538461538461538,1.0,0.6923076923076923,0.0,0.6923076923076923,1.0,2.0,110.0,0.0,249.0,0.0,249.0,884.0,1.0,46.0,51.0,110.0,0.0,93.0,100.0,0.0,0.0,1.0,1.0,1.0,0.0,46.0,51.0,46.0,110.0,0.0,110.0,93.0,100.0,93.0,0.0,0.0,0.0,0.0,A,B,C,D,2024-05-14_18h37.23.102,1.4241214003413347,women,23
IG47,1.0,NAIT,LOWU,4.0,497.2558722998947,391.0672286995903,498.4619666002691,392.2733229999647,500.4758251002058,394.28718149990135,deck_data_1.xlsx,deck_D_wins,deck_D_lose,deck_B_wins,deck_B_lose,deck_A_wins,deck_A_lose,deck_C_wins,deck_C_lose,0.1538461538461538,1.0,0.6923076923076923,0.0,0.6923076923076923,1.0,4.0,57.0,104.0,306.0,0.0,306.0,941.0,0.0,46.0,51.0,110.0,0.0,93.0,100.0,57.0,104.0,1.0,1.0,1.0,1.0,46.0,51.0,46.0,110.0,0.0,110.0,93.0,100.0,93.0,57.0,104.0,57.0,0.0,A,B,C,D,2024-05-14_18h37.23.102,1.2060943003743887,women,23
IG47,1.0,NAIT,LOWU,5.0,500.50556119997054,394.3169175996661,500.86093170009553,394.6722880997911,502.87853879947215,396.6898951991677,deck_data_1.xlsx,deck_D_wins,deck_D_lose,deck_B_wins,deck_B_lose,deck_A_wins,deck_A_lose,deck_C_wins,deck_C_lose,0.1538461538461538,1.0,0.6923076923076923,0.0,0.6923076923076923,1.0,2.0,102.0,0.0,408.0,0.0,408.0,1043.0,1.0,46.0,51.0,212.0,0.0,93.0,100.0,57.0,104.0,1.0,2.0,1.0,1.0,46.0,51.0,46.0,106.0,0.0,106.0,93.0,100.0,93.0,57.0,104.0,57.0,0.0,A,B,C,D,2024-05-14_18h37.23.102,0.3553705001249909,women,23
IG47,1.0,NAIT,LOWU,6.0,502.90634839981794,396.7177047995135,503.9603399997577,397.7716963994533,505.9750651996583,399.7864215993538,deck_data_1.xlsx,deck_D_wins,deck_D_lose,deck_B_wins,deck_B_lose,deck_A_wins,deck_A_lose,deck_C_wins,deck_C_lose,0.1538461538461538,1.0,0.6923076923076923,0.0,0.6923076923076923,1.0,4.0,39.0,0.0,447.0,0.0,447.0,1082.0,0.0,46.0,51.0,212.0,0.0,93.0,100.0,96.0,104.0,1.0,2.0,1.0,2.0,46.0,51.0,46.0,106.0,0.0,106.0,93.0,100.0,93.0,48.0,52.0,48.0,0.0,A,B,C,D,2024-05-14_18h37.23.102,1.0539915999397635,women,23
IG47,1.0,NAIT,LOWU,7.0,506.0046568997204,399.816013299416,506.88014340028167,400.6914997999773,508.8912696996704,402.70262609936594,deck_data_1.xlsx,deck_D_wins,deck_D_lose,deck_B_wins,deck_B_lose,deck_A_wins,deck_A_lose,deck_C_wins,deck_C_lose,0.1538461538461538,1.0,0.6923076923076923,0.0,0.6923076923076923,1.0,3.0,109.0,0.0,556.0,0.0,556.0,1191.0,0.6923076923076923,46.0,51.0,212.0,0.0,202.0,100.0,96.0,104.0,1.0,2.0,2.0,2.0,46.0,51.0,46.0,106.0,0.0,106.0,101.0,50.0,101.0,48.0,52.0,48.0,0.0,A,B,C,D,2024-05-14_18h37.23.102,0.8754865005612942,women,23
IG47,1.0,NAIT,LOWU,8.0,508.9206493003294,402.73200570002496,510.7297686999664,404.541125099662,512.743558799848,406.55491519954353,deck_data_1.xlsx,deck_D_wins,deck_D_lose,deck_B_wins,deck_B_lose,deck_A_wins,deck_A_lose,deck_C_wins,deck_C_lose,0.1538461538461538,1.0,0.6923076923076923,0.0,0.6923076923076923,1.0,1.0,45.0,65.0,601.0,0.0,601.0,1236.0,0.1538461538461538,91.0,116.0,212.0,0.0,202.0,100.0,96.0,104.0,2.0,2.0,2.0,2.0,45.5,58.0,45.5,106.0,0.0,106.0,101.0,50.0,101.0,48.0,52.0,48.0,0.0,A,B,C,D,2024-05-14_18h37.23.102,1.8091193996370407,women,23
IG47,1.0,NAIT,LOWU,9.0,512.7700618999079,406.58141829960346,513.1477054003626,406.9590618000582,515.1571233998984,408.968479799594,deck_data_1.xlsx,deck_D_wins,deck_D_lose,deck_B_wins,deck_B_lose,deck_A_wins,deck_A_lose,deck_C_wins,deck_C_lose,0.1538461538461538,1.0,0.6923076923076923,0.0,0.6923076923076923,1.0,2.0,102.0,123.0,703.0,0.0,703.0,1338.0,1.0,91.0,116.0,314.0,123.0,202.0,100.0,96.0,104.0,2.0,3.0,2.0,2.0,45.5,58.0,45.5,104.66666666666669,41.0,104.66666666666669,101.0,50.0,101.0,48.0,52.0,48.0,1.0,A,B,C,D,2024-05-14_18h37.23.102,0.3776435004547238,women,23
IG47,1.0,NAIT,LOWU,10.0,515.1854672003537,408.9968236000493,517.1419363999739,410.9532927996695,519.1731797996908,412.9845361993864,deck_data_1.xlsx,deck_D_wins,deck_D_lose,deck_B_wins,deck_B_lose,deck_A_wins,deck_A_lose,deck_C_wins,deck_C_lose,0.1538461538461538,1.0,0.6923076923076923,0.0,0.6923076923076923,1.0,3.0,92.0,0.0,795.0,0.0,795.0,1430.0,0.6923076923076923,91.0,116.0,314.0,123.0,294.0,100.0,96.0,104.0,2.0,3.0,3.0,2.0,45.5,58.0,45.5,104.66666666666669,41.0,104.66666666666669,98.0,33.333333333333336,98.0,48.0,52.0,48.0,2.0,A,,C,D,2024-05-14_18h37.23.102,1.9564691996201875,women,23
